gold_id,prerequisites,unlocks
FAMST 187RW,"Film studies 46 or upper-division standing, and consent of instructor.",None
FAMST 190PC,"Film Studies 46 or upper-division standing, and consent of instructor.",None
FAMST 192FT,Film and Media 96 with a grade of C or better.,None
FAMST 195I,Upper-division standing; open to film studies majors only; consent of department.,None
FAMST 55CY,No prerequisites.,None
FAMST 101A,Film and Media Studies 46 and 70 with a minimum grade of C; open to Film and Media Studies majors only.,None
FAMST 109EM,"Film Studies 46; and, consent of instructor.",None
FAMST 109EP,"Film Studies 46; and, consent of instructor.",None
FAMST 110,No Prerequisites,None
FAMSTW 151FA,FAMST 46,None
FAMST 182,No Prerequisites,None
FAMST 188SS,"Consent of instructor, writing sample, upper-division standing.",None
FAMST 188WS,"Consent of instructor, writing sample, upper-division standing.",None
FAMST 196,Admission to senior honors program.,None
FAMST 199,Upper-division standing; completion of 2 upper-division courses in film studies; consent of instructor and department.,None
FAMST 501,No Prerequisites,None
FAMST 596,Graduate standing; consent of instructor.,None
FEMST 20,No Prerequisites,None
FEMST 40,No Prerequisites,None
FEMST 60,No Prerequisites,None
FEMST 99,One 1-4 unit Feminist Studies lower division course; consent of instructor and department chair.,None
FEMST 121,"Feminist Studies 20, 30, 40, 50, 60, or 80.",None
FEMST 130,Upper-division standing.,None
FEMST 133,"Feminist Studies 20, 30, 40, 50, 60, or 80.",None
FEMST 161,No Prerequisites,None
FEMST 165,Feminist Studies 20 or 30 or 40 or 50 or 60 or 80.,None
FEMST 180,Upper-division standing; open to Feminist Studies majors and minors only.,None
FEMST 182,Upper-division standing; open to Feminist Studies majors only.,None
FEMST 185EC,Upper-division standing.,None
FEMST 198,Upper-division standing; completion of 2 upper-division courses in Feminist Studies.,None
FEMST 199,Upper-division standing; completion of 2 upper-division courses in Feminist Studies.,None
FEMST 199RA,No Prerequisites,None
FEMST 280A,No Prerequisites,None
FEMST 501,Teaching assistant.,None
FEMST 594WD,No Prerequisites,None
FEMST 596,Instructor approval; current graduate enrollment.,None
FEMST 50,No Prerequisites,None
FEMST 120,No Prerequisites,None
FEMST 128,Upper-division standing.,None
FEMST 142,No Prerequisites,None
FEMST 144,Upper-division standing.,None
FEMST 150,No Prerequisites,None
FEMST 151AA,Upper-division standing.,None
FEMST 163,Feminist Studies 80,None
FEMST 181,Upper-division standing; open to Feminist Studies majors and minors only.,None
FEMST 183,Upper-division standing; open to Feminist Studies majors and minors and LGBTQ Studies Minors only.,None
FEMST 186EG,Upper-division standing.,None
FEMST 186MF,Upper-division standing.,None
FEMST 195HC,Feminist Studies 195HA or 195HB; upper-division standing.,None
FEMST 220,Graduate standing.,None
FEMST 250AI,Graduate standing.,None
FEMST 280B,No Prerequisites,None
FEMST 30,No Prerequisites,None
FEMST 80,No Prerequisites,None
FEMST 195HB,Feminist Studies 195HA; upper-division standing.,None
FEMSTW 20,No Prerequisites,None
FEMSTW 80,No Prerequisites,None
FEMSTW 150,No Prerequisites,None
FR 1,No Prerequisites,"BL ST 180, FR 2"
FR 2,French 1.,"BL ST 180, FR 3"
FR 3,French 2.,"BL ST 180, FR 4, FR 99"
FR 4,French 3.,FR 5
FR 5,French 4.,"FR 6, FR 6GS"
FR 6,French 5.,"FR 100, FR 106, FR 116A"
FR 50AX,Writing 2.,None
FR 99,French 3 with a minimum grade of B.,None
FR 100,French 6; or French 6GS; or equivalent.,"FR 101B, FR 104F, FR 111, FR 101A, FR 104E, FR 151B"
FR 101C,French 100 or French 26 or equivalent.,"FR 147C, FR 149F, FR 149E, FR 147B"
FR 104C,French 100 or French 26 or equivalent.,"FR 147C, FR 149F, FR 149E, FR 147B"
FR 111,French 100.,None
FR 147B,One course from French 101A-B-C and one course from 104A-B-C-D.,None
FR 153D,No Prerequisites,None
FR 189,Upper-division standing.,None
FR 195H,Upper-division standing; 24 upper-division units in French.,None
FR 197,Senior standing or 6 upper division courses in French.,FR 197H
FR 197H,Concurrent enrollment in French 197; honors standing,None
FR 6GS,French 5 or equivalent.,None
FR 11B,French 11A or consent of instructor.,None
FR 101B,French 100 or French 26 or equivalent.,"FR 147C, FR 149F, FR 149E, FR 147B"
FR 104F,French 100 or French 26.,None
FR 106,FR 6 or equivalent,None
FR 116A,FR 6 or equivalent,None
FR 149F,One course from French 101A-B-C and one course from 104A-B-C-D.,None
FR 153A,Writing 2 or upper-division standing.,None
FR 154G,No Prerequisites,None
FR 11A,No Prerequisites,FR 11B
FR 50BX,Writing 2.,None
FR 50CX,Writing 2.,None
FR 104E,French 100 or French 26.,None
FR 149E,One course from French 101A-B-C and one course from 104A-B-C-D.,None
FR 154J,Upper division standing.,None
FR 154F,No Prerequisites,None
FR 155C,No Prerequisites,None
FR 199,Upper-division standing; completion of 2 upper-division courses in French.,None
FR 597,Consent of graduate advisor.,None
GEOG 3,No Prerequisites,"ENV S 167, GEOG 158, GEOG 163, GEOG 167, GEOG 175, GEOG 115A"
GEOG 4,No Prerequisites,"EARTH 137, ENV S 167, GEOG 137, GEOG 158, GEOG 167, GEOG 175"
GEOG 5,No Prerequisites,"GEOG 152, GEOG 153C, GEOG 185D, GEOG 117, GEOG 192, GEOG 108"
GEOG W 12,No Prerequisites,None
GEOG 20,No Prerequisites,GEOG 20H
GEOG 20H,Concurrent enrollment in Geography 20.,None
GEOG 104,Upper-division standing or consent of instructor.,GEOG 249
GEOG 108,Geography 5.,"GEOG 185D, GEOG 192"
GEOG 111A,Upper Division Unit Standing or Consent of Instructor.,GEOG 111B
GEOG 114A,Environmental Studies 15A and 15B or Chemistry 1A-B; and Geography 3 or 4 oEarth Science 2 or 4 or 20,"ENV S 114B, GEOG 114B"
GEOG 115A,Upper-division standing.,GEOG 115B
GEOG 131,Geography 3 or 3A or 3B or 4; or consent of instructor.,None
GEOG 133,MATH 2A or 3A with grade of C or better.,None
GEOG 140,Upper-division standing; or consent of instructor.,None
GEOG 142,"Geography 3 or 3A or 3B or 4; or, Environmental Studies 2; or, Earth Science 1; or, Chemistry 1A.",None
GEOG 172,"Statistics and Applied Probability 5AA-ZZ or Ecology, Evolution & Marine Biology 30 or Psychology 5 or Communication 87.","GEOG 276, GEOG 210A"
GEOG 176A,Upper Division Unit Standing,"GEOG 186, GEOG 286"
GEOG 193,Upper-division standing in geography; consent of department.,None
GEOG 194,Consent of instructor.,None
GEOG 195IW,Upper-division standing.,None
GEOG 198,Upper-division standing; completion of two upper-division courses in geography; consent of instructor.,None
GEOG 199,Upper-division standing; completion of two upper-division courses in geography; consent of instructor.,None
GEOG 199RA,Upper-division standing; completion of two upper-division courses in geography; consent of instructor.,None
GEOG 200A,No Prerequisites,"GEOG 200C, GEOG 200B"
GEOG 6,No Prerequisites,GEOG 152
GEOG 114B,Environmental Studies or Geography 114A.,None
GEOG 115C,Geography 115B with a minimum grade of C.,None
GEOG 117,"Geography 5; and, Geography 3 or 3A or 3B or 4.",None
GEOG 119,Geography 3 or 3A or Geography 8 or Earth Science 2 or Earth Science 3 or Earth Science 4 or consent of instructor.,None
GEOG 136,"GEOG 3B or equivalent, plus one or more upper division course(s) in the area(s) of atmospheric science, hydrology, ecology, or geological science.",None
GEOG 137,Geography 3B or 4; or Earth 2,None
GEOG 149,MCDB 1A-1AL and EEMB 2; or MCDB 20 or EEMB 22 or Environmental Studies 2 or 60 or Geography 3 or 3A or 3B or 4 or Earth Science 2.,None
GEOG 162,Upper-division standing.,None
GEOG 166,Chemistry 1A; and Geography 3 or Earth Science 4,None
GEOG 176C,Geography 176B with a minimum grade of C.,None
GEOG 185D,Geography 3 or 3A or 3B or 4 or 5 or 108 or 109.,None
GEOG 192,Geography 3 or 3A or 3B or 4 or 5 or 108 or 109.,None
GEOG 200C,"Geography 200A or approval of graduate committee, and Geography 200B. Required of all geography graduate students.",None
GEOG 201,No Prerequisites,None
GEOG 210C,Geography 210B.,None
GEOG 237,No Prerequisites,None
GEOG 8,No Prerequisites,GEOG 119
GEOG 109,upper-division standing only,"GEOG 185D, GEOG 192"
GEOG 110,GEOG 3 or 3A or ENVS 3 or EARTH 2 or 4; and Math 2A-B or 3A-B; and PHYS 1 or 6A; and upper division standing,GEOG 249
GEOG 115B,Geography 115A with a minimum grade of C.,GEOG 115C
GEOG 116,GEOG 3B or 4 or EARTH 2; or consent of instructor.,None
GEOG 130,Geography 3B or 4 or Environmental Studies 2 or permission of the instructor.,None
GEOG 132,GEOG 3A,None
GEOG 134,Geography 3 or 3A or 3B or 4 or equivalent course.,None
GEOG 144,Mathematics 2A-2B or 3A-3B or 34A-B.,None
GEOG 152,Geography 5 or 6,None
GEOG 161,Upper-division standing.,None
GEOG 176B,A minimum grade of C in Geography 176A.,"GEOG 176C, GEOG 186, GEOG 286"
GEOG 596,Consent of instructor and graduate advisor.,None
GER 1,Not open for credit to students who have completed more advanced work in German.,GER 106
GER 1G,Graduate standing in any field.,None
GER 3,Grade of P or grade of C or better in German 2. Not open for credit to students who have completed more advanced work in German.,None
GER 4,Grade of P or grade of C or better in German 3. Not open for credit to students who have completed more advanced work in German.,"GER 114, GER 105C"
GER 35,No Prerequisites,None
GER 101A,German 6.,"GER 113, GER 190, GER 117"
GER 106,German 1-6 or equivalent,None
GER 117,German 6 and 101A-B-C.,None
GER 179B,Upper-division standing.,None
GER 179C,Upper-division standing.,None
GER 197,Open to senior majors only; consent of instructor.,None
GER 199,Upper-division standing; completion of 2 upper-division courses in German.,None
GER 199RA,Upper-division standing; completion of 2 courses in upper-division German; consent of instructor and department.,None
GER 500,No Prerequisites,None
GER 596,"German 210A-B or equivalent. Graduate standing; consent of instructor, graduate adviser and department chair.",None
GER 598,Consent of instructor.,None
GER 599,German 201A-B or equivalent. Advancement to candidacy; consent of graduate adviser.,None
GER 2,Grade of P or grade of C or better in German 1. Not open for credit to students who have completed more advanced work in German.,GER 8C
GER 6,Grade of P or grade of C or better in German 5. Not open for credit to students who have completed more advanced work in German.,"GER 101C, GER 108, GER 101B, GER 107A, GER 113, GER 190"
GER 8C,German 2.,None
GER 101C,German 6.,"GER 113, GER 190, GER 117"
GER 108,German 6 or equivalent.,None
GER 114,German 4 or equivalent,None
GER 163,Upper division standing.,None
GER 190,German 6 and German 101A-B-C,None
GER 210,Consent of instructor.,None
GER 2G,Graduate standing.,None
GER 5,Grade of P or grade of C or better in German 4. Not open for credit to students who have completed more advanced work in German.,GER 105C
GER 101B,German 6.,"GER 113, GER 190, GER 117"
GER 105C,German 4; GER 5 (may be taken concurrently with 105C).,None
GER 107A,German 6.,None
GER 113,German 6 and 101A-B-C.,None
GER 152,Upper division standing.,None
GER 155,Upper division standing.,None
GER 164H,Upper-division standing.,None
GER 55A,No Prerequisites,None
GER 116A,Upper-division standing.,None
GER 187,Upper-division standing.,None
GLOBL 1,No Prerequisites,"GLOBL 110, GLOBL 140, GLOBL 130"
GLOBL 2,No Prerequisites,"POL S 186, GLOBL 110, GLOBL 123, GLOBL 140, GLOBL 130, POL S 140"
GLOBL 12,No Prerequisites,None
GLOBL 99,Consent of department and instructor.,None
GLOBL 104,Upper-division standing.,None
GLOBL 110,Global Studies 1 and 2; upper-division standing.,None
GLOBL 120,Global Stuies 1 and 2; upper-division standing.,None
GLOBL 124,Upper-division standing.,None
GLOBL 130,Global Studies 1 and 2; upper-division standing.,None
GLOBL 132,Upper-division standing.,None
GLOBL 140,Global Studies 1 and 2; upper-division standing.,None
GLOBL 172,Upper Division standing.,None
GLOBL 174,Upper-division standing.,None
GLOBL 190AH,Consent of instructor and admission to Global Studies departmental Honors program,None
GLOBL 196A,"Consent of instructor; student will need to apply to the course and be actively preparing to attend an EAP (Education Abroad Program) for a portion ofthe year following the 3-part research seminar series (GLOBL 196A, B, and C). More information about the course and program can be found at https://global.ucsb.edu/undergrad/abroad.","GLOBL 196C, GLOBL 196B, GLOBL 196A"
GLOBL 196SJ,HIST 74. Consent of Instructor.,None
GLOBL 197E,Upper-division standing.,None
GLOBL 197G,Upper-division standing.,None
GLOBL 197H,Upper-division standing.,None
GLOBL 199,Upper-division standing; consent of program (department) and instructor.,None
GLOBL 201,For graduate students doing the Ph.D. emphasis in Global Studies.,None
GLOBL 210,No Prerequisites,None
GLOBL 220,No Prerequisites,None
GLOBL 224,Graduate standing; consent of department.,None
GLOBL 123,Political Science 7 or Global Studies 2; Upper-division standing.,None
GLOBL 136,Global 130,None
GLOBL 148,No Prerequisites,None
GLOBL 163,No Prerequisites,None
GLOBL 176,Upper division standing.,None
GLOBL 193,Consent of instructor.,None
GLOBL 196C,"Completion of GLOBL 196A and GLOBL 196B and consent of instructor (student s who have not completed GLOBL 196A and 196B may be granted permission to enroll on a case-by-case basis); Student needs to be actively preparing to attend an EAP (Education Abroad Program) for a portion of the year followi ng the 3-part research seminar series (GLOBL 196A, B, and C).",None
GLOBL 221,Graduate standing; consent of department.,None
GLOBL 222,Graduate standing; consent of department.,None
GLOBL 229,Graduate Standing; consent of department.,None
GLOBL 232A,Graduate standing; consent of instructor.,None
GLOBL 236,Graduate standing.,None
GLOBL 264,Graduate standing,None
GLOBL 501,Appointment as teaching assistant in Global and International Studies.,None
GLOBL 131,Upper-division standing.,None
GLOBL 142,Upper division standing.,None
GLOBL 146,No Prerequisites,None
GLOBL 161,No Prerequisites,None
GLOBL 196B,"Completion of GLOBL 196A and consent of instructor (students who have not GLOBL 196A may be granted permission to enroll on a case-by-case basis); Student needs to be actively preparing to attend an EAP (Education Abroad Program) for a portion of the year following the 3-part research seminar (GLOBL 196A, B, and C).",GLOBL 196C
GLOBL 197D,Upper-division standing.,None
GLOBL 197F,Upper-division standing.,None
GLOBL 118,Upper-division standing.,None
GREEK 1,No Prerequisites,GREEK 2
GREEK 100,Greek 3 with a grade of C or better.,GREEK 101
GREEK 163,Greek 102 or equivalent.,None
GREEK 199,Consent of instructor and department chair; upper-division standing; completion of 2 upper-division courses in Greek.,None
GREEK 263,Graduate standing.,None
GREEK 596,Written proposal approved by department chair and graduate advisor.,None
GREEK 598,Graduate standing and consent of instructor and graduate advisor.,None
GREEK 3,Greek 2 with a grade of C or better.,GREEK 100
GREEK 173,Greek 102.,None
GREEK 273,Graduate standing.,None
GREEK 2,Greek 1 with a grade of C or better.,GREEK 3
GREEK 101,Greek 100 with a grade of C or better.,None
GREEK 151,Greek 102.,None
HEB 1,No Prerequisites,HEB 2
HEB 3,Hebrew 2 or equivalent.,None
HEB 2,Hebrew 1 or equivalent.,HEB 3
HIST 4A,No Prerequisites,"HIST 184E, HIST 111C, HIST 112C, HIST 111B, HIST 112A, HIST 138FM"
HIST 5,No Prerequisites,None
HIST 8A,No Prerequisites,None
HIST 9,No Prerequisites,"HIST 187C, HIST 101SR, HIST 105R, HIST 187A, HIST 121D, HIST 136M"
HIST 17A,No Prerequisites,"HIST 179A, BL ST 169AR, BL ST 169CR, CH ST 168B, HIST 167CA, HIST 161R"
HIST 46A,No Prerequisites,"HIST 146, HIST 145C"
HIST 49A,No Prerequisites,None
HIST 74,No Prerequisites,"GLOBL 196SJ, HIST 196SJ"
HIST 80,No Prerequisites,"HIST 184E, HIST 185T, JAPAN 164, HIST 184A, HIST 187S"
HIST 88,No Prerequisites,None
HIST 99,Consent of department and instructor.,None
HIST 100,No Prerequisites,None
HIST 104G,History 4B or Upper Division Standing.,None
HIST 106R,History 106A or 106B or 106C or 109 or or 110 or 110D or upper division standing.,HIST 104SS
HIST 112A,History 2A or 4A or upper division standing,None
HIST 121D,History 4B or 9 or upper-division standing.,HIST 121R
HIST 121F,Upper division standing or Hist 4B or Hist 2B or Hist 9 or Hist 121C,None
HIST 125,HIST 2A or HIST 2B or HIST 4B,HIST 115R
HIST 133C,History 2C or 4C.,None
HIST 136M,History 9 or 8 or 17A or 168B,None
HIST 138FM,History 4A or 4B or 2B or upper division standing.,None
HIST 2C,No Prerequisites,"HIST 141B, HIST 123C, HIST 184E, HIST 185T, HIST 187C, HIST 133B"
HIST 4C,No Prerequisites,"HIST 141B, HIST 123C, HIST 184E, HIST 133B, HIST 133D, HIST 135C"
HIST 8B,No Prerequisites,None
HIST 17C,No Prerequisites,"BL ST 169AR, BL ST 169CR, CH ST 168B, HIST 170B, HIST 107C, HIST 167CB"
HIST 22,No Prerequisites,None
HIST 49C,No Prerequisites,None
HIST 101SR,HIST 101G AND either HIST 9 or Upper Division Standing,None
HIST 111C,History 2A or 4A or upper-division standing.,None
HIST 112C,History 2A or 4A or upper division standing.,None
HIST 146,History 46 or 46A or 46B or upper-division standing.,None
HIST 146R,Upper Division Standing.,None
HIST 147R,Upper Division standing.,None
HIST 156A,History 8 or upper-division standing.,None
HIST 161R,History 17A or HIST 161B or 161NE or upper division standing.,None
HIST 164C,History 17B or upper-division standing.,None
HIST 167Q,Upper division standing,None
HIST 169B,"ANY LOWER-DIVISION COURSE IN HISTORY OR BLACK STUDIES, OR UPPER-DIVISION STANDING.",HIST 169R
HIST 170B,History 7 or 17A or 17B or 17C or upper-division standing.,None
HIST 174C,"History 17A, B, or C, or upper-division standing.",None
HIST 2B,No Prerequisites,"HIST 122, HIST 115A, HIST 184E, HIST 185T, HIST 187C, HIST 115B"
HIST 4B,No Prerequisites,"HIST 122, HIST 115A, HIST 184E, HIST 107C, HIST 115B, HIST 135C"
HIST 17B,No Prerequisites,"BL ST 169AR, BL ST 169CR, CH ST 168B, HIST 164C, HIST 167CA, HIST 170B"
HIST 20,No Prerequisites,HIST 107C
HIST 46B,No Prerequisites,"HIST 146, HIST 145C"
HIST 46MI,No Prerequisites,None
HIST 49B,No Prerequisites,None
HIST 101QA,Upper division standing,None
HIST 106T,Upper division standing,None
HIST 107C,Concurrent enrollment or completion of one of the following: History 4B or 17B or 17C or 20; or upper division standing.,None
HIST 111B,History 2A or 4A or upper-division standing.,None
HIST 115B,History 2B or 4B or upper division standing.,None
HIST 115R,"Any one of the following: History 115, 115X, 118A, 118B, 125 or 130 or upper division standing or consent of instructor.",None
HIST 133B,History 2C or 4C.,None
HIST 141B,History 2C or 4C or upper-division standing.,HIST 141R
HIST 141R,History 141A or 141B or upper division standing.,None
HIST 142AL,A previous course in History or upper division standing.,None
HIST 142R,Upper division standing,None
HIST W 2A,No Prerequisites,None
HIST W 4B,No Prerequisites,None
HIST W 17B,No Prerequisites,None
HIST 56,No Prerequisites,None
HIST W 56,No Prerequisites,None
HIST W 80,No Prerequisites,None
HIST W 121A,Upper-division standing.,None
HIST 122,History 2B or 4B or Rg St 80B or Upper Division Standing,HIST 121R
HIST 133D,History 2C or 4C.,None
HIST 179A,History 17A or upper-division standing.,None
HIST 189E,A prior course in History,None
HIST 189M,Upper-division standing.,None
HIST 196,Upper-division standing; consent of department.,None
INT 10,None,None
INT 84AA,Enrollment in Letters and Science Honors Program.,None
INT 84AC,Enrollment in Letters and Science Honors Program.,None
INT 84BA,Enrollment in Letters and Science Honors Program.,None
INT 84BC,Enrollment in Letters and Science Honors Program.,None
INT 84BD,Enrollment in Letters and Science Honors Program.,None
INT 84BK,Enrollment in Letters and Science Honors Program.,None
INT 84BL,Enrollment in Letters and Science Honors Program.,None
INT 84BU,Enrollment in Letters and Science Honors Program.,None
INT 84BY,Enrollment in Letters and Science Honors Program.,None
INT 84CE,Enrollment in Letters and Science Honors Program.,None
INT 84ZL,Enrollment in Letters and Science Honors Program.,None
INT 84ZW,Enrollment in Letters and Science Honors Program.,None
INT 86BJ,Freshman standing.,None
INT 86EI,Freshman standing.,None
INT 86GG,Freshman standing.,None
INT 86HZ,Freshman standing.,None
INT 86IT,Freshman standing.,None
INT 86UL,Freshman standing.,None
INT 86VC,Freshman standing.,None
INT 86VN,Freshman standing.,None
INT 86VW,Freshman standing.,None
INT 86WM,Freshman standing.,None
INT 87AC,No Prerequisites,None
INT 84AG,Enrollment in Letters and Science Honors Program.,None
INT 84AT,Enrollment in Letters and Science Honors Program.,None
INT 84BG,Enrollment in Letters and Science Honors Program.,None
INT 84BR,Freshman standing.,None
INT 84BT,Freshman standing.,None
INT 84ZA,Enrollment in Letters and Science Honors Program; lower-division standing.,None
INT 84ZB,Enrollment in Letters and Science Honors Program.,None
INT 84ZG,Freshman standing.,None
INT 84ZI,Freshman standing.,None
INT 84ZP,Freshman standing.,None
INT 86HI,Freshman standing.,None
INT 86TN,Freshman standing.,None
INT 86VV,Freshman standing.,None
INT 86WC,Freshman standing.,None
INT 86WE,Freshman standing.,None
INT 84AH,Enrollment in Letters and Science Honors Program.,None
INT 84AQ,Enrollment in Letters and Science Honors Program.,None
INT 84CC,Enrollment in Letters and Science Honors Program.,None
INT 84CO,Enrollment in Letters and Science Honors Program.,None
INT 84CT,Enrollment in Letters and Science Honors Program.,None
INT 84ZN,Enrollment in Letters and Science Honors Program.,None
INT 86EB,Freshman standing.,None
INT 86TK,Freshman standing.,None
INT 86US,Freshman standing.,None
INT 86UX,Freshman standing.,None
INT 86VL,Freshman standing.,None
INT 86WB,Freshman standing.,None
INT 87AG,No Prerequisites,None
INT 87AJ,No Prerequisites,None
INT 87AP,No Prerequisites,None
INT 102,Upper-division standing.,None
INT 35LT,No Prerequisites,None
INT 37UD,No Prerequisites,None
INT 37VR,No Prerequisites,None
INT 90M,Admission to McNair Scholars Program.,None
INT 93LS,Consent of instructor.,None
INT W 188C,Instructor approval required prior to registration.,None
INT W 188E,Instructor approval required prior to registration.,None
INT 192DC,Upper-division standing; consent of instructor; acceptance to Washington Center.,None
INT 199H,Upper-division Letters & Science Honors Program students only.,None
ITAL 1,No Prerequisites,"ITAL 2, ITAL 2HY, ITAL 16B, ITAL 8B, ITAL 119B, ITAL 8A"
ITAL 1HY,No Prerequisites,None
ITAL 2,Italian 1 or equivalent.,"ITAL 3, ITAL 3HY, ITAL 16B"
ITAL 2HY,Completion of Italian 1 or Italian 1HY with a grade of P or a grade of C or higher.,None
ITAL 3,Italian 2 or equivalent.,"ITAL 99RA, ITAL 4"
ITAL 4,Italian 3; or Italian 16B.,ITAL 5
ITAL 8A,Italian 1 or equivalent.,None
ITAL 16A,1 year of college Spanish; or 3 years of high school Spanish; or be native or heritage speaker of Spanish.,ITAL 16B
ITAL 20X,No Prerequisites,None
ITAL 101,Italian 6 or equivalent,ITAL 111
ITAL 119A,Italian 1-6 or equivalent,None
ITAL 124X,Upper Division standing.,None
ITAL 130X,Upper Division Standing,None
ESS W 131,Upper-division standing.,None
ITAL 139FX,Upper division standing.,None
ITAL 195H,Senior standing; completion of 24 upper-division units in Italian.,None
ITAL 199,Upper-division standing; completion of 2 upper-division courses in Italian.,None
ITAL 199RA,Upper-division standing; completion of 2 upper-division courses in Italian;consent of instructor.,None
ITAL 500,No Prerequisites,None
ITAL 6,Italian 5.,"ITAL 103, ITAL 109, ITAL 104, ITAL 119B, ITAL 101, ITAL 119A"
ESS W 9,No Prerequisites,None
ITAL 16B,Italian 16A with a grade of P or a grade of C or higher; or ITA1 and ITA2 with one year of college Spanish or 3 years of high school Spanish; or be native or heritage speaker of Spanish.,ITAL 4
ITAL 104,Italian 6 or equivalent.,None
ITAL 109,Italian 5. Concurrent enrollment in Italian 6 or upper-division standing.,None
ITAL 114X,Upper-division standing or instructor approval.,None
ITAL 145AX,Upper division standing.,None
ITAL 596,Graduate standing and consent of instructor.,None
ITAL 5,Italian 4.,"ITAL 6, ITAL 109"
ITAL 99RA,Italian 3 or equivalent with a grade of a minimum grade of B.,None
ITAL 103,Italian 6 or equivalent.,None
ITAL 120X,No Prerequisites,None
ITAL 139CX,Upper division standing.,None
ITAL 179X,No Prerequisites,None
JAPAN 1,No Prerequisites,JAPAN 2
JAPAN 4,"Japanese 3 with grade C or better, or equivalent",JAPAN 5
JAPAN 73,No Prerequisites,None
JAPAN 111,Upper-division standing.,None
JAPAN 120A,"Japanese 6 with grade C or better, or equivalent",JAPAN 120B
JAPAN 144,Japanese 120C,JAPAN 145
JAPAN 175B,Upper division standing,None
JAPAN 181,Japanese 120C,JAPAN 183
JAPAN 198,Upper-division standing; completion of 2 upper-division courses in Japaneseconsent of instructor.,None
JAPAN 199,Upper-division standing; completion of 2 upper-division courses in Japanese; at least one of those two courses taken with instructor for Japan 199; GPA for those two courses 3.5 or higher,None
JAPAN 199RA,Completion of at least 2 upper-division courses in Japanese studies or EastAsian Cultural Studies; consent of instructor and department.,None
JAPAN 201,Ability to read japanese at graduate level; consent of instructor. Normallygraduate status is required.,None
JAPAN 287J,Graduate Standing,None
JAPAN 596,Graduate standing.,None
JAPAN 597,Consent of graduate adviser.,None
JAPAN 598,Graduate standing.,None
JAPAN 3,"Japanese 2 with grade C or better, or equivalent",JAPAN 4
JAPAN 6,"Japanese 5 with grade C or better, or equivalent",JAPAN 120A
JAPAN 99,minimum 3.0 cumulative GPA,None
JAPAN 99RA,minimum 3.0 cumulative GPA,None
JAPAN 120C,"Japanese 120B with grade C or better, or equivalent.","JAPAN 144, JAPAN 181"
JAPAN 165,Upper-division standing.,None
JAPAN 180TV,Upper Division Standing,None
JAPAN 2,"Japanese 1 with grade C or better, or equivalent.",JAPAN 3
JAPAN 5,"Japanese 4 with grade C or better, or equivalent",JAPAN 6
JAPAN 120B,"Japanese 120A with grade C or better, or equivalent",JAPAN 120C
JAPAN 145,Japanese 144.,None
JAPAN 183,Japanese 181.,None
KOR 1,No Prerequisites,"KOR 3, KOR 6, KOR 2, KOR 5, KOR 4"
KOR 4,"Korean 1, 2, 3.","KOR 6, KOR 5"
KOR 152,Upper-division standing.,None
KOR 153,Upper-division standing.,None
KOR 199,Upper-division standing; completion of 2 upper-division Korean courses; one of those two courses taken with the instructor for KOR 199; GPA for those two courses 3.5 or higher,None
KOR 3,"Korean 1, 2.","KOR 6, KOR 4, KOR 5"
KOR 6,"Korean 1, 2, 3, 4, 5.",None
KOR 2,Korean 1.,"KOR 3, KOR 6, KOR 4, KOR 5"
KOR 5,"Korean 1, 2, 3, 4.",KOR 6
KOR 123,No Prerequisites,None
LAIS 100,Upper-division standing.,"LAIS 100H, SPAN 106H"
LAIS 100H,Concurrent enrollment in SPAN 106 or LAIS 100; honors standing in LAIS or the College of Letters and Science.,None
LAIS 103,Upper-division standing,None
LAIS 145,Spanish 25 or Spanish 16B; and Spanish 100,None
LAIS 195A,Admission to honors program; consent of department.,None
LAIS 195B,Admission to honors program; consent of department.,None
LAIS 199,Upper-division standing; completion of 2 upper-division courses in LAIS.,None
LAIS 596,Graduate standing.,None
LAIS 598,Fulfillment of all graduate requirements except the thesis.,None
LAIS 10,None,None
LAIS 127,Spanish 30 (can be taken concurrently),None
LAIS 156A,History 8 or upper-division standing.,None
LAIS 165,Spanish 30; and Spanish 100 (may be taken concurrently),None
LAIS 591,TA appointment.,None
LAIS 597,Graduate standing. No unit credit allowed toward advanced degrees.,None
LAIS 174,Spanish 102L or Spanish 30 (Prerequisite may be taken concurrently).,None
LAIS 189,Spanish 102L or Spanish 30 (Prerequisite may be taken concurrently).,None
LAIS 194,Spanish 102L or Spanish 30 (Prerequisite may be taken concurrently).,None
LAIS 101,Upper-division standing.,None
LATIN 1,No Prerequisites,"LATIN 103, LATIN 2"
LATIN 100,Latin 3 with a grade of C or better.,LATIN 101
LATIN 103,"Latin 1, 2, and 3.",None
LATIN 123,Latin 102.,None
LATIN 199,Consent of instructor and department chair. upper-division standing; completion of 2 upper-division courses in Latin.,None
LATIN 223,Graduate standing.,None
LATIN 596,Written proposal approved by department chair and graduate advisor.,None
LATIN 598,Graduate standing and consent of instructor and graduate advisor.,None
LATIN 3,Latin 2 with a grade of C or better.,"LATIN 100, LATIN 103"
LATIN 102,Latin 101.,"LATIN 113, LATIN 120, LATIN 114, LATIN 123, LATIN 136"
LATIN 120,Latin 102.,None
LATIN 220,Graduate standing.,None
LATIN 2,Latin 1 with a grade of C or better.,"LATIN 3, LATIN 103"
LATIN 101,Latin 100 with a grade of C or better.,LATIN 102
LATIN 114,Latin 102.,None
